id	isbn	name	author	publishing	publisheddate	price	pages	allnum
233	9787544281119	幸福-一次哲学之旅	勒诺瓦	南海	2015	35	100	2
234	9787301266021	大宋真天子:一代仁君赵匡胤	王立新	北京大学	2016	58	100	2
235	9787555101000	断舍离心灵篇 	山下英子		2014	32	100	2
236	9787550235694	互联网时代	《互联网时代》主创团队	北京联合	2014	49.8	100	2
237	9787510454301	从10到1	科斯拉.索尼	新 世 界	2015	42	100	2
238	9787547608531	甲午殇思	刘声东.张铁柱.刘亚洲	上海远东	2014	68	100	2
239	9787213071621	重新定义人才	贝克尔休斯里德贝蒂	浙江人民	2016	59.9	100	2
240	9787213072277	决战大数据升级版 :大数据的关键思考	车品觉	浙江人民	2016	56.9	100	2
241	9787111489894	以色列谷:科技之盾炼就创新的国度	顾克文...	机械工业	2015	40	100	2
242	9787532770618	日本第一:对美国的启示	傅高义	上海译文	2016	39	100	2
243	9787302357056	大唐英雄传附光盘 	于赓哲	清华大学	2014	39.8	100	2
244	9787513319317	被遗忘的年代	谭雄飞.谭爱梅	新星	2016	35	100	2
245	9787550275836	为数据而生:大数据创新实践	周涛	北京联合	2016	52.9	100	2
246	9787508662282	战略的本质	里维斯.汉拿斯.辛哈	中信	2016	48	100	2
247	9787543893245	无上荣耀	康多莉扎.赖...	湖南人民	2014	68	100	2
248	9787511729712	孔子是个好老师	钟国兴.陈有勇	中央编译	2016	42	100	2
249	9787535447371	罗辑思维II	罗振宇	长江文艺	2014	42	100	2
250	9787549573721	眼前:漫游在左传的世界	唐诺	广西师大	2016	39	100	2
251	9787508646930	社交的本质--扎克伯格的商业秘密	扎克伯格	中信	2016	45	100	2
252	9787518310920	有限伙伴:21世纪美俄关系新常态	斯登特		2016	88	100	2
253	9787516810002	单读12:创造力之死	吴琦	台海	2016	36	100	2
254	9787540473655	买买买时代的行为经济学	日本木瓜制造	湖南文艺	2015	38	100	2
255	9787108056832	何以中国.公元前2000年的中原图景 修订版	许宏	三联书店	2016	42	100	2
256	9787101100280	历史的注脚	叶永烈	中华书局	2014	42	100	2
257	9787807618720	国学的天空修订版 	傅佩荣	岳麓书社	2014	39.8	100	2
258	9787508647517	我从新疆来	库尔班江.赛买提	中信	2014	58	100	2
259	9787513320429	正体字回家:细说简化字失据	流沙河	新星	2016	48	100	2
260	9787213069604	创新的创新:社会创新模式如何引领众创时代	黄亚生王丹	浙江人民	2016	62.9	100	2
261	9787550244146	罗辑思维:成大事者不纠结	罗振宇	北京联合	2015	42	100	2
262	9787549568031	笔记中的动物	陆春祥	广西师大	2015	39	100	2
263	9787010136301	美国是如何监视中国的--美国全球监听行动纪录	互联网新闻研究中心	人民	2014	28	100	2
264	9787010129808	帝国的兴衰--AIG的故事	格林伯格	人民	2014	58	100	2
265	9787301270806	中国思想之渊源第二版 	牟复礼	北京大学	2016	45	100	2
266	9787213066597	民主-中国如何选择	郑永年	浙江人民	2015	42	100	2
267	9787208124370	中国超越:一个文明型国家的光荣与梦想	张维为	上海人民	2014	36	100	2
268	9787201100036	斯坦福大学创业成长课	李笑来	天津人民	2016	46	100	2
269	9787213059384	天空的另一半	克里斯多夫.邓恩	浙江人民	2014	39.8	100	2
270	9787213068850	父亲南怀瑾全二册 	南一鹏	浙江人民	2015	78	100	2
271	9787550229822	朝鲜战争--未曾透露的真相全二册 	古尔登	北京联合	2014	98	100	2
272	9787300229034	朴槿惠政治经济学	王俊生.李天国	人民大学	2016	42	100	2
273	9787552010107	拿破仑的外交策略	伦茨	上海社科院	2016	49.8	100	2
274	9787213070167	再见-平庸时代:在未来经济中赢得好位子	考恩	浙江人民	2016	35	100	2
275	9787505135697	宗庆后:万有引力原理	迟宇宙	红旗	2015	56	100	2
276	9787111534365	工匠精神:开启中国精造时代	曹顺妮	机械工业	2016	39	100	2
277	9787540475598	那时的先生:1940—1946中国文化的根在李庄	岳南	湖南文艺	2016	48	100	2
278	9787510456145	五角大楼的秘密:美国总统是如何影响世界军事行动的	桑德斯	新 世 界	2016	45	100	2
279	9787511726940	国家命运:反腐攻坚战	邱学强.等	中央编译	2015	58	100	2
280	9787535480279	精神	刘亚洲	长江文艺	2015	39.8	100	2
281	9787550234925	穿布鞋的马云:决定阿里巴巴生死的27个节点	王利芬.李翔	北京联合	2014	42	100	2
282	9787511286147	从领先到极致--互联网时代下的创业.创新与管理哲学	夏普	光明日报	2015	49.8	100	2
283	9787507341195	邓小平传1904-1974 上下卷 	中央文献研究室	中央文献	2014	196	100	2
284	9787510456084	中国的历史	吕思勉	新 世 界	2016	46	100	2
285	9787508651712	改革的教训:打捞中国历代沉没的改革	李仕权	中信	2015	29	100	2
286	9787510709562	文明皇后:胡兰成遗稿集	胡兰成	中国长安	2016	48	100	2
287	9787220096570	谁坑了中国企业?	刘洪	四川人民	2016	35	100	2
288	9787101111293	鲸斗殃虾:美苏与三八线1941-1948 	董洁	中华书局	2016	32	100	2
289	9787213072901	关键时刻MOT白金版 	卡尔森	浙江人民	2016	49.9	100	2
290	9787122239563	水的答案知多少--水的第四相:不只是固态.液态和气态全彩版 	波拉克	化学工业	2015	59	100	2
291	9787549578535	信任:社会美德与创造经济繁荣	福山	广西师大	2016	78	100	2
292	9787510455735	新原道:中国哲学之精神	冯友兰	新 世 界	2016	36.8	100	2
293	9787543964136	红楼梦丝绸密码附光盘 	李建华	上海科技文献	2014	32	100	2
294	9787567546882	博尔赫斯大传	威廉森	华东师大	2016	59	100	2
295	9787508649368	遇见苏格拉底-我的人生睡醒了	埃文斯	中信	2015	38	100	2
296	9787513320139	爱欲日本	佐伯顺子	新星	2016	68	100	2
297	9787111499503	互联网+:从IT到DT	阿里研究院	机械工业	2015	59	100	2
298	9787549570942	政治秩序与政治衰败:从工业革命到民主全球化	福山	广西师大	2015	98	100	2
299	9787542654434	极简宇宙史	加尔法德	上海三联	2016	49.5	100	2
300	9787513909358	1968:撞击世界之年	科兰斯基	民主与建设	2016	78	100	2
301	9787218106083	大明王朝的七张面孔全新修订升级版 	张宏杰	广东人民	2016	45	100	2
302	9787508657325	穿越百年中东	郭建龙	中信	2016	58	100	2
303	9787510456695	李鸿章传	布兰德.梁启超	新 世 界	2016	36	100	2
304	9787510458255	大合并漩涡:互联网时代的中国式并购	熊玥伽.吴迪	新 世 界	2016	49	100	2
305	9787536480681	三体中的物理学	李淼	四川科技	2015	32	100	2
306	9787510456114	重读中国近代史	吕思勉	新 世 界	2016	36	100	2
307	9787560436524	财富的逻辑.2:所有的泡沫终将破灭	陈志武	西北大学	2015	58	100	2
308	9787560435305	金融的逻辑.1:金融何以富民强国	陈志武	西北大学	2015	58	100	2
309	9787517402589	美国的腐败--从富兰克林的鼻烟盒到联合公民胜诉案	提绍特	中国方正	2016	38	100	2
310	9787213063497	稀缺:我们是如何陷入贫穷与忙碌的	穆来纳森.沙菲尔	浙江人民	2014	56.9	100	2
311	9787553459059	博尔贾宫廷:布尔夏德日记选插图本 	帕克	吉林出版集团	2016	108	100	2
312	9787802568679	张鸣说历史:大国的虚与实	张鸣	群言	2015	36.8	100	2
313	9787213072925	伟大的挣扎:不确定时代的责任型领导力	巴达拉克	浙江人民	2016	49.9	100	2
314	9787505736986	希拉里:为总统而生	哈伯	中国友谊	2016	48	100	2
315	9787568014137	501个疯子全两册 	张林	同济大学	2016	49.8	100	2
316	9787101116793	小学古诗词字源诗境讲析	万献初.黄雪晴	中华书局	2016	20	100	2
317	9787513909723	供给侧结构性改革	林毅夫	民主与建设	2016	39.8	100	2
318	9787510456961	互联网时代的商业变革	李娓婷.谭磊	新 世 界	2016	45	100	2
319	9787101096484	故宫藏美插图典藏本 	朱家溍	中华书局	2014	49	100	2
320	9787535672087	我的故事	梦露	湖南美术	2015	56	100	2
321	9787552010749	中国教育会好吗	杨东平	上海社科院	2016	38	100	2
322	9787213069475	千面英雄	坎贝尔	浙江人民	2016	99.9	100	2
323	9787534781926	王立群读《史记》.文景之治	王立群	大象	2016	32	100	2
